filename,duration_sec,speech_rate,num_pauses,pitch_variation,num_hesitations
Recording (1).wav,12.6,1.9841269841269842,3,65.4654455495443,2
Recording (10).wav,9.048027210884353,2.320947927161181,3,73.41975453888078,0
Recording (11).wav,10.68,2.059925093632959,1,67.79834565935919,1
Recording (12).wav,11.016009070294784,1.9970934899939483,4,70.47841938234748,1
Recording (13).wav,9.144036281179138,1.3123307509944153,3,81.37243323859676,1
Recording (14).wav,9.384036281179139,1.5984592930532868,3,70.00681723845693,2
Recording (15).wav,8.472018140589569,1.8885700826517067,2,74.06399175617899,1
Recording (16).wav,12.0,1.3333333333333333,2,79.36002519500904,1
Recording (17).wav,10.056009070294785,0.994430288407333,2,83.00480204103779,1
Recording (18).wav,7.464036281179139,1.7416849959290808,1,79.7749975706375,1
Recording (19).wav,12.768027210884354,1.1748095263466354,5,74.61572591367677,2
Recording (2).wav,9.144036281179138,1.4216916469106167,3,80.07945442251076,0
Recording (3).wav,10.8,1.759259259259259,3,70.1356568430674,1
Recording (4).wav,9.264036281179138,2.1588861909610717,2,68.20439671216381,1
Recording (5).wav,9.336009070294784,2.142242991562186,3,76.86588978693193,1
Recording (6).wav,9.624036281179139,1.4546911078648508,4,69.33339333742694,1
Recording (7).wav,9.072018140589568,1.3227486777512274,3,75.3857761461575,1
Recording (8).wav,11.688027210884353,1.7967103961260433,3,74.14602393018306,1
Recording (9).wav,8.11201814058957,1.6025605188125454,2,73.79942760037524,1
